count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
948946,2014,8,"Yorkshire and The Humber",194,Barnsley,U,Minor,,,437585,401930,53.51271576,-1.43469891,,,Counted,"Manual count",12,10,592,0,93,2,4,0,0,0,4,10,704
948931,2014,8,"Yorkshire and The Humber",194,Barnsley,B6096,Minor,,,439029,402546,53.51814742,-1.41284856,,,Counted,"Manual count",41,80,8524,94,1519,78,18,2,4,2,3,108,10325
948938,2014,8,"Yorkshire and The Humber",194,Barnsley,C,Minor,,,428509,411325,53.59772714,-1.57070403,,,Counted,"Manual count",10,4,420,7,79,6,0,5,0,0,0,11,520
948963,2014,8,"Yorkshire and The Humber",194,Barnsley,U,Minor,,,435198,405635,53.54618090,-1.47027725,,,Counted,"Manual count",8,22,1208,0,256,5,0,1,0,0,0,6,1493
948925,2014,8,"Yorkshire and The Humber",194,Barnsley,B6462,Minor,,,428099,401436,53.50886607,-1.57778408,,,Counted,"Manual count",43,35,3270,27,504,47,24,9,0,2,22,104,3940
948929,2014,8,"Yorkshire and The Humber",194,Barnsley,B6449,Minor,,,431828,405704,53.54701540,-1.52112684,,,Counted,"Manual count",28,30,8386,140,1182,130,41,8,5,43,19,246,9985
8591,2015,8,"Yorkshire and The Humber",194,Barnsley,A616,Major,A629,A61,432000,398979,53.48656026,-1.51921550,2.90,1.80,Estimated,"Estimated using previous year's AADF on this link",4,96,15420,66,3993,552,121,126,127,560,437,1924,21499
8442,2015,8,"Yorkshire and The Humber",194,Barnsley,A61,Major,A628,A628,434800,406200,53.55128553,-1.47622075,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",10,93,12366,77,1801,147,29,23,20,40,56,315,14651
99562,2014,8,"Yorkshire and The Humber",194,Barnsley,A6195,Major,"Hemingfield Road roundabout",A633,439200,402000,53.51322734,-1.41033785,2.50,1.55,Counted,"Manual count",23,165,18412,134,2731,368,62,43,24,76,298,870,22313
948922,2014,8,"Yorkshire and The Humber",194,Barnsley,B6106,Minor,,,420452,403538,53.52811072,-1.69294926,,,Counted,"Manual count",11,34,1034,15,219,28,16,4,0,1,2,50,1353
